No. , Official name (known as) , Location , Country , First used , Last used , No. of ODIs ," Ends
"
1,Melbourne Cricket Ground(MCG) ," Melbourne, Victoria ", Australia ! Australia , 000000001971-01-05-00005 January 1971 ,000000002015-03-29-000029 March 2015[1] ,144 [2] ," • Members End • Great Southern Stand End
"
2,Old Trafford Cricket Ground(Old Trafford) ," Manchester, Greater Manchester ", England ! England , 000000001972-08-24-000024 August 1972 ,28 May 2014[3] ,42 [4] ," • Stretford End • Brian Statham End (originally Warwick Road end)
"
3,Lord's Cricket Ground(Lord's) ,"St. John's Wood, London ", England ! England , 000000001972-08-26-000026 August 1972 ,31 May 2014[5] ,56 [6] ," • Pavilion End • Nursery End
"
4,County Cricket Ground(Edgbaston) ," Birmingham, West Midlands ", England ! England , 000000001972-08-28-000028 August 1972 ,2 September 2014[7] ,51 [8] ," • City End • Pavilion End
"
5,AMI Stadium(formerly Jade Stadium and Lancaster Park) ," Christchurch, Canterbury ", New Zealand ! New Zealand , 000000001973-02-11-000011 February 1973 , 000000002011-01-29-000029 January 2011[9] ,48 [10] ," • Hadlee Stand End • Port Hills End
"
6,St Helen's ," Swansea, West Glamorgan ", Wales ! Wales , 000000001973-07-18-000018 July 1973 ,000000001983-06-09-00009 June 1983[11] ,2 [12] ," • Mumbles Road End • Pavilion End
"
7,Headingley Stadium(Headingley) ," Leeds, West Yorkshire ", England ! England , 000000001973-09-05-00005 September 1973 ,000000002014-09-05-00005 September 2014[13] ,36 [14] ," • Kirkstall Lane End • Football Stand End
"
8,The Oval Cricket Ground(The Oval) ," Kennington, London ", England ! England , 000000001973-09-07-00007 September 1973 , 22 May 2014[15] ,57 [16] ," • Pavilion End • Vauxhall End
"
9,Carisbrook ," Dunedin, Otago ", New Zealand ! New Zealand ,000000001974-03-30-000030 March 1974 , 000000002004-02-25-000025 February 2004[17] ,21 [18] ," • Railway End • Hillside (Workshops) End
"
10,Trent Bridge Ground(Trent Bridge) ," Nottingham, Nottinghamshire ", England ! England , 000000001974-08-31-000031 August 1974 ,30 August 2014[19] ,38 [20] ," • Pavilion End • Radcliffe Road End
"
11,Basin Reserve(The Basin) , Wellington , New Zealand ! New Zealand , 000000001975-03-09-00009 March 1975 , 000000002005-03-01-00001 March 2005[21] ,26 [22] ," • Vance Stand End • Scoreboard End
"
12,Adelaide Oval ," Adelaide, South Australia ", Australia ! Australia , 000000001975-12-20-000020 December 1975 , 000000002015-03-20-000020 March 2015[23] ,81 [24] ," • City/River End • Cathedral End
"
13,Eden Park No. 1(Eden Park) , Auckland , New Zealand ! New Zealand , 000000001976-02-22-000022 February 1976 , 000000002015-03-24-000024 March 2015[25] ,72 [26] ," • Dominion Road End • Sandringham Road End
"
14,North Marine Road Ground(The Pavilion) ," Scarborough, North Yorkshire ", England ! England , 000000001976-08-26-000026 August 1976 ,000000001978-07-15-000015 July 1978[27] ,2 [28] ," • Pavilion End • Trafalgar Square End
"
15,Jinnah Stadium(Sialkot Stadium) ," Sialkot, Punjab ", Pakistan ! Pakistan , 000000001976-10-16-000016 October 1976 , 000000001996-12-06-00006 December 1996[29] ,9 [30] ," • Railway End  • Pavilion End
"
16,Albion Sports Complex ,"Albion, Berbice, Guyana (West Indies) ", West Indies ! Guyana ,000000001977-03-16-000016 March 1977 , 000000001985-04-14-000014 April 1985[31] ,5 [32] ," Unknown
"
17,Zafar Ali Stadium(Sahiwal Stadium) ," Sahiwal, Punjab ", Pakistan ! Pakistan , 000000001977-12-23-000023 December 1977 , 000000001978-11-03-00003 November 1978[33] ,2 [34] ," Unknown
"
18,Gaddafi Stadium(Lahore Stadium) ," Lahore, Punjab ", Pakistan ! Pakistan ,000000001978-01-13-000013 January 1978 , 000000002009-01-24-000024 January 2009[35] ,58 [36] ," • Pavilion End • College End
"
19,Antigua Recreation Ground(The Rec) ," St. John's, Antigua and Barbuda(West Indies) ", West Indies ! Antigua and Barbuda , 000000001978-02-22-000022 February 1978 , 000000002007-02-28-000028 February 2007[37] ,11 [38] ," • Pavilion End • Factory Road End
"
20,Mindoo Phillip Park(Victoria Park) ," Castries, Saint Lucia (West Indies) ", West Indies ! Saint Lucia , 000000001978-04-12-000012 April 1978 , 000000001984-04-19-000019 April 1984[39] ,2 [40] ," Unknown
"
21,Ayub National Stadium(Baluchistan CA Ground) ," Quetta, Balochistan ", Pakistan ! Pakistan , 000000001978-10-01-00001 October 1978 , 000000001984-10-12-000012 October 1984[41] ,2 [42] ," Unknown
"
22,Sydney Cricket Ground(SCG) ," Sydney, New South Wales ", Australia ! Australia , 000000001979-01-13-000013 January 1979 ,000000002015-03-26-000026 March 2015[43] ,151 [44] ," • Paddington End • Randwick End
"
23,Brisbane Cricket Ground(The Gabba) ," Brisbane, Queensland ",Australia ! Australia , 000000001979-12-23-000023 December 1979 , 000000002015-03-01-00001 March 2015[45] ,75 [46] ," • Stanley Street End • Vulture Street End
"
24,National Stadium ," Karachi, Sindh ", Pakistan ! Pakistan ,000000001980-11-21-000021 November 1980 , 000000002009-01-21-000021 January 2009[47] ,46 [48] ," • Pavilion End • University End
"
25,Western Australian Cricket Association Ground(The WACA) ," Perth, Western Australia ",Australia ! Australia , 000000001980-12-09-00009 December 1980 , 000000002015-03-06-00006 March 2015[49] ,78 [50] ," • Members/Lillee-Marsh Stand/River End • Prindiville Stand End
"
26,The Playing Fields(Arnos Vale) ," Kingstown, Saint Vincent and the Grenadines (West Indies) ", West Indies ! Saint Vincent and the Grenadines , 000000001981-02-04-00004 February 1981 , 000000002012-03-20-000020 March 2012[51] ,23 [52] ," • Airport End • Bequia End
"
27,Seddon Park ," Hamilton, Waikato ", New Zealand ! New Zealand , 000000001981-02-15-000015 February 1981 , 000000002015-03-13-000013 March 2015[53] ,27 [54] ," • Members End • City End
"
28,Sardar Vallabhbhai Patel Stadium ," Ahmedabad, Gujarat ", India ! India , 000000001981-11-25-000025 November 1981 , 000000001981-11-25-000025 November 1981[55] ,1 [56] ," Unknown
"
29,Gandhi Stadium ," Jalandhar, Punjab ", India ! India , 000000001981-12-20-000020 December 1981 , 000000001984-02-20-000020 February 1984[57] ,3 [58] ," • Stadium End  • Pavilion End
"
30,Barabati Stadium ," Cuttack, Odisha ", India ! India , 000000001982-01-27-000027 January 1982 , 000000002014-11-02-00002 November 2014[59] ,17 [60] ," • Mahanadi River End  • Pavilion End
"
31,Sinhalese Sports Club Ground(SSC) ," Colombo, Western Province ", Sri Lanka ! Sri Lanka , 000000001982-02-13-000013 February 1982 , 000000002011-02-06-00006 February 2011[61] ,59 [62] ," • Tennis Courts End  • South End
"
32,Gandhi Sports Complex Ground(Alexandra Ground) ," Amritsar, Punjab ", India ! India , 000000001982-09-12-000012 September 1982 , 000000001995-11-18-000018 November 1995[63] ,2 [64] ," Unknown
"
33,Feroz Shah Kotla Ground(Kotla) ," New Delhi, Delhi ", India ! India , 000000001982-09-15-000015 September 1982 , 000000002014-10-11-000011 October 2014[65] ,23 [66] ," • Stadium End  • Pavilion End
"
34,Niaz Stadium ," Hyderabad, Sindh ", Pakistan ! Pakistan , 000000001982-09-20-000020 September 1982 , 000000002008-01-24-000024 January 2008[67] ,7 [68] ," Unknown
"
35,M. Chinnaswamy Stadium(Chinnaswamy Stadium) ," Bangalore, Karnataka ", India ! India , 000000001982-09-26-000026 September 1982 , 000000002013-11-02-00002 November 2013[69] ,24 [70] ," • Pavilion End • BEML End
"
36,Jinnah Stadium(Municipal Stadium) ," Gujranwala, Punjab ", Pakistan ! Pakistan , 000000001982-12-03-00003 December 1982 , 000000002000-02-16-000016 February 2000[71] ,11 [72] ," Unknown
"
37,Ibn-e-Qasim Bagh Stadium ," Multan, Punjab ", Pakistan ! Pakistan , 000000001982-12-17-000017 December 1982 , 000000001994-10-14-000014 October 1994[73] ,6 [74] ," Unknown
"
38,Queen's Park Oval ," Port of Spain, Trinidad and Tobago (West Indies) ",West Indies ! Trinidad and Tobago, 000000001983-03-09-00009 March 1983 , 11 July 2013[75] ,65 [76] ," • Pavilion End • Media Centre End
"
39,McLean Park ," Napier, Hawke's Bay ", New Zealand ! New Zealand , 000000001983-03-19-000019 March 1983 , 000000002015-03-15-000015 March 2015[77] ,42 [78] ," • Centennial Stand End • Embankment End
"
40, Queen's Park (Old) ," St George's, Grenada (West Indies) ", Grenada, 000000001983-04-07-00007 April 1983 , 000000001983-04-07-00007 April 1983[79] ,1 [80] ," Unknown
"
41,Paikiasothy Saravanamuttu Stadium(Saravanamuttu Stadium) ," Colombo, Western Province ", Sri Lanka ! Sri Lanka , 000000001983-04-13-000013 April 1983 , 000000002007-07-20-000020 July 2007[81] ,12 [82] ," • Air Force Flats End  • Press Block End
"
42,County Ground(formerly Athletic Ground) ," Taunton, Somerset ", England ! England , 000000001983-06-11-000011 June 1983 ,000000001999-05-26-000026 May 1999[83] ,3 [84] ," • River End • Old Pavilion End
"
43,Grace Road ," Leicester, Leicestershire ", England ! England , 000000001983-06-11-000011 June 1983 ,000000001999-05-27-000027 May 1999[85] ,3 [86] ," • Pavilion End • Bennett End
"
44,County Ground(formerly Ashley Down/Fry's/Phoenix/Royal Sun & Alliance Ground) ," Bristol, County of Bristol ", England ! England , 000000001983-06-13-000013 June 1983 ,000000002010-07-10-000010 July 2010[87] ,13 [88] ," • Pavilion End • Ashley Down Road End
"
45,County Ground(New Road) ," Worcester, Worcestershire ", England ! England , 000000001983-06-13-000013 June 1983 ,000000001999-05-22-000022 May 1999[89] ,3 [90] ," • New Road End • Diglis End
"
46,County Ground ," Southampton, Hampshire ", England ! England , 000000001983-06-16-000016 June 1983 ,000000001999-05-30-000030 May 1999[91] ,3 [92] ," • City End • Northlands Road End
"
47,Nevill Ground ," Tunbridge Wells, Kent ", England ! England , 000000001983-06-18-000018 June 1983 ,000000001983-06-18-000018 June 1983[93] ,1 [94] ," • Pavilion End • Railway End
"
48,County Ground(Racecourse Ground) ," Derby, Derbyshire ", England ! England , 000000001983-06-18-000018 June 1983 ,000000001999-05-28-000028 May 1999[95] ,2 [96] ," • Grandstand End • Scoreboard End
"
49,The Ford County Ground ," Chelmsford, Essex ", England ! England , 000000001983-06-20-000020 June 1983 ,000000001999-05-29-000029 May 1999[97] ,3 [98] ," • River End • Hayes Close End
"
50,Lal Bahadur Shastri Stadium(Fateh Maidan) ," Hyderabad, Telangana ", India ! India , 000000001983-09-10-000010 September 1983 , 000000002003-10-15-000015 October 2003[99] ,14 [100] ," • Pavilion End • Hill Fort End
"
51,Sawai Mansingh Stadium ," Jaipur, Rajasthan ", India ! India , 000000001983-10-02-00002 October 1983 , 000000002013-10-16-000016 October 2013[101] ,19 [102] ," • Pavilion End • City End
"
52,Sher-i-Kashmir Stadium ," Srinagar, Jammu and Kashmir ", India ! India , 000000001983-10-13-000013 October 1983 , 000000001986-09-09-00009 September 1986[103] ,2 [104] ," Unknown
"
53,Moti Bagh Stadium(formerly Motibaug Palace Ground) ," Vadodara, Gujarat ", India ! India , 000000001983-11-09-00009 November 1983 , 000000001988-12-17-000017 December 1988[105] ,3 [106] ," Unknown
"
54,Nehru Stadium ," Indore, Madhya Pradesh ", India ! India , 000000001983-12-01-00001 December 1983 , 000000002001-03-31-000031 March 2001[107] ,9 [108] ," Unknown
"
55,Keenan Stadium ," Jamshedpur, Jharkhand ", India ! India , 000000001983-12-07-00007 December 1983 , 000000002006-04-12-000012 April 2006[109] ,10 [110] ," • Dalma Hills End • Naoroji Pavilion End
"
56,Nehru Stadium ," Guwahati, Assam ", India ! India , 000000001983-12-17-000017 December 1983 , 000000002010-11-28-000028 November 2010[111] ,14 [112] ," • Pavilion End • Railway End
"
57,Tyronne Fernando Stadium(Fernando Stadium) ," Moratuwa, Western Province ", Sri Lanka ! Sri Lanka , 000000001984-03-31-000031 March 1984 , 000000001993-08-14-000014 August 1993[113] ,6 [114] ," • Press Box End  • Katubadda End
"
58,Sharjah Cricket Stadium(Sharjah) ," Sharjah, United Arab Emirates ", United Arab Emirates ! United Arab Emirates , 000000001984-04-06-00006 April 1984 , 000000002015-11-17-000017 November 2015[115] ,219 [116] ," • Pavilion End • Sharjah Club End
"
59,Sabina Park(Bina) ," Kingston, Jamaica (West Indies) ", West Indies ! Jamaica , 000000001984-04-26-000026 April 1984 , 23 February 2014[117] ,37 [118] ," • Blue Mountains End • Headley Stand End
"
60,Jawaharlal Nehru Stadium ," New Delhi, Delhi ", India ! India , 000000001984-09-28-000028 September 1984 , 000000001991-10-14-000014 October 1991[119] ,2 [120] ," Unknown
"
61,University Stadium ," Trivandrum, Kerala ", India ! India , 000000001984-10-01-00001 October 1984 , 000000001988-01-25-000025 January 1988[121] ,2 [122] ," • Church End • Hotel End
"
62,Sardar Patel Stadium(Motera) ," Ahmedabad, Gujarat ", India ! India , 000000001984-10-05-00005 October 1984 , 000000002014-11-06-00006 November 2014[123] ,23 [124] ," • Adani Pavilion End • GMDC End
"
63,Arbab Niaz Stadium ," Peshawar, Khyber Pakhtunkhwa ", Pakistan ! Pakistan , 000000001984-11-02-00002 November 1984 , 000000002006-02-06-00006 February 2006[125] ,15 [126] ," • Pavilion End  • College End
"
64,Iqbal Stadium ," Faisalabad, Punjab ", Pakistan ! Pakistan , 000000001984-11-23-000023 November 1984 , 000000002008-04-11-000011 April 2008[127] ,16 [128] ," • Pavilion End • Golf Course End
"
65,Nehru Stadium(formerly Club of Maharashtra ," Pune, Maharashtra ", India ! India , 000000001984-12-05-00005 December 1984 , 000000002005-11-03-00003 November 2005[129] ,11 [130] ," • Tilak Road End • Pavilion End
"
66,Tasmania Cricket Association Ground ," Hobart, Tasmania ", Australia ! Australia , 000000001985-01-10-000010 January 1985 , 000000001985-01-10-000010 January 1985[131] ,1 [132] ," Unknown
"
67,"Vidarbha Cricket Association Ground(VCA, Nagpur) "," Nagpur, Maharashtra ",India ! India , 000000001985-01-23-000023 January 1985 , 000000002007-10-14-000014 October 2007[133] ,14 [134] ," • Jaika End •  Church End
"
68,Sector 16 Stadium ," Chandigarh, Chandigarh ", India ! India , 000000001985-01-27-000027 January 1985 , 000000002007-10-08-00008 October 2007[135] ,5 [136] ," Unknown
"
69,Kensington Oval(The Mecca) ," Bridgetown, Barbados (West Indies) ", West Indies ! Barbados , 000000001985-04-23-000023 April 1985 , 000000002011-05-02-00002 May 2011[137] ,30 [138] ," • Malcolm Marshall End • Joel Garner End
"
70,Pindi Club Ground(Army Sports Ground) ," Rawalpindi, Punjab ", Pakistan ! Pakistan , 000000001985-12-04-00004 December 1985 , 000000001987-10-12-000012 October 1987[139] ,2 [140] ," Unknown
"
71,North Tasmania Cricket Association Ground ," Launceston, Tasmania ", Australia ! Australia , 000000001986-02-02-00002 February 1986 ,000000001986-02-02-00002 February 1986[141] ,1 [142] ," • Northern End • Broadland Park End
"
72,Asgiriya Stadium ," Kandy, Central Province ", Sri Lanka ! Sri Lanka , 000000001986-03-02-00002 March 1986 , 000000002001-12-16-000016 December 2001[143] ,6 [144] ," • Hunnasgiriya End  • Hanthana End
"
73,Ranasinghe Premadasa Stadium(formerly Khetterama Stadium) ," Colombo, Western Province ", Sri Lanka ! Sri Lanka , 000000001986-04-05-00005 April 1986 , 16 December 2014[145] ,116 [146] ," • Khettarama End  • Scoreboard End
"
74,Madhavrao Scindia Cricket Ground(formerly Racecourse/Corporation Ground/Municipal Stadium)  ," Rajkot, Saurashtra ", India ! India , 000000001986-10-07-00007 October 1986 , 000000002009-12-15-000015 December 2009[147] ,12 [148] ," • Pavilion End  • Airport End
"
75,Modi Stadium(formerly Green Park/British India Corporation Ground) ," Kanpur, Uttar Pradesh ", India ! India , 000000001986-12-24-000024 December 1986 , 000000002013-11-27-000027 November 2013[149] ,13 [150] ," • Mill Pavilion End • Hostel End
"
76,Wankhede Stadium ," Mumbai, Maharashtra ", India ! India , 000000001987-01-17-000017 January 1987 , 000000002011-10-23-000023 October 2011[151] ,19 [152] ," • Garware Pavilion End • Tata End
"
77,Formby Recreation Ground(Devonport Oval)  ," Devonport, Tasmania ", Australia ! Australia , 000000001987-02-03-00003 February 1987 ,000000001987-02-03-00003 February 1987[153] ,1 [154] ," • Bass Strait End • Southern End
"
78,Eden Gardens ," Kolkata, West Bengal ", India ! India , 000000001987-02-18-000018 February 1987 , 000000002014-11-13-000013 November 2014[155] ,28 [156] ," • High Court End  • Pavilion End
"
79,M. A. Chidambaram Stadium(Chepauk) ," Chennai, Tamil Nadu ", India ! India , 000000001987-10-09-00009 October 1987 , 000000002015-10-22-000022 October 2015[157] ,20 [158] ," • Anna Pavilion End • Pattabiraman Gate End
"
80,Bellerive Oval ," Hobart, Tasmania ", Australia ! Australia , 000000001988-01-12-000012 January 1988 , 000000002015-03-14-000014 March 2015[159] ,35 [160] ," • Church Street End • River End
"
81,Nahar Singh Stadium(formerly Mayur Stadium) ," Faridabad, Haryana ", India ! India , 000000001988-01-19-000019 January 1988 , 000000002006-03-31-000031 March 2006[161] ,8 [162] ," Unknown
"
82,Captain Roop Singh Stadium ," Gwalior, Madhya Pradesh ", India ! India , 000000001988-01-22-000022 January 1988 , 000000002010-02-24-000024 February 2010[163] ,12 [164] ," • Pavilion End • Press Box End
"
83,Bourda ," Georgetown, Guyana (West Indies) ", West Indies ! Guyana ,000000001988-03-30-000030 March 1988 , 000000002006-05-07-00007 May 2006[165] ,11 [166] ," • Regent Street End • North Road End
"
84,MA Aziz Stadium ," Chittagong, Chittagong Division ", Bangladesh ! Bangladesh , 000000001988-10-27-000027 October 1988 , 000000002005-01-26-000026 January 2005[167] ,10 [168] ," • Pedrollo End • Ispahani End
"
85,Bangabandhu National Stadium(Number 1 Dhaka Stadium)," Dhaka, Dhaka Division ", Bangladesh ! Bangladesh , 000000001988-10-27-000027 October 1988 , 000000002005-01-31-000031 January 2005[169] ,58 [170] ," • Pavilion End • Paltan End
"
86,Indira Priyadarshini Stadium(Municipal Corporation Vizag Stadium) ," Visakhapatnam, Andhra Pradesh ", India ! India , 000000001988-12-10-000010 December 1988 , 000000002001-04-03-00003 April 2001[171] ,5 [172] ," Unknown
"
87,Brabourne Stadium ," Mumbai, Maharashtra ", India ! India , 000000001989-10-23-000023 October 1989 , 000000002006-11-05-00005 November 2006[173] ,8 [174] ," • Pavilion End • Churchgate End
"
88,Nehru Stadium(Pandit Jawaharlal Nehru Stadium) ," Fatorda,  Margao, Goa ", India ! India , 000000001989-10-25-000025 October 1989 , 000000002010-10-24-000024 October 2010[175] ,7 [176] ," • Church End • Swimming Pool End
"
89,K.D. Singh Babu Stadium ," Lucknow, Uttar Pradesh ", India ! India , 000000001989-10-27-000027 October 1989 , 000000001989-10-27-000027 October 1989[177] ,1 [178] ," • Pavilion End • Gomati End
"
90,Sports Stadium(Sargodha Stadium) ," Sargodha, Punjab ", Pakistan ! Pakistan , 000000001992-01-10-000010 January 1992 , 000000001992-01-10-000010 January 1992[179] ,1 [180] ," Unknown
"
91,Rawalpindi Cricket Stadium ," Rawalpindi, Punjab ", Pakistan ! Pakistan , 000000001992-01-19-000019 January 1992 , 000000002006-02-11-000011 February 2006[181] ,21 [182] ," • Pavilion End • Shell End
"
92,Pukekura Park ," New Plymouth, Taranaki ", New Zealand ! New Zealand ,000000001992-02-23-000023 February 1992 , 000000001992-02-23-000023 February 1992[183] ,1 [184] ," • South Terrace End • North City End
"
93,Ray Mitchell Oval(Harrup Park) ," Mackay, Queensland ", Australia ! Australia , 000000001992-02-28-000028 February 1992 , 000000001992-02-28-000028 February 1992[185] ,1 [186] ," Unknown
"
94,Eastern Oval ," Ballarat, Victoria ", Australia ! Australia , 000000001992-03-09-00009 March 1992 , 000000001992-03-09-00009 March 1992[187] ,1 [188] ," • Bowling Club End • City End
"
95,Manuka Oval ," Canberra, Australian Capital Territory ", Australia ! Australia , 000000001992-03-10-000010 March 1992 , 000000002015-03-03-00003 March 2015[189] ,7 [190] ," • Church End • Lake Burley Griffin End
"
96,Berri Oval ," Berri, South Australia ", Australia ! Australia , 000000001992-03-13-000013 March 1992 , 000000001992-03-13-000013 March 1992[191] ,1 [192] ," Unknown
"
97,Lavington Sports Oval(Lavington Sports Club) ," Albury, New South Wales ", Australia ! Australia , 000000001992-03-18-000018 March 1992 , 000000001992-03-18-000018 March 1992[193] ,1 [194] ," Unknown
"
