No. , Official name (known as) , Location , Country , First used , Last used , No. of ODIs ," Ends
98,Harare Sports Club(formerly Salisbury Sports Club) , Harare , Zimbabwe ! Zimbabwe , 000000001992-10-25-000025 October 1992 , 6 September 2014[195] ,114 [196] ," • City End • Club House End
"
99,Bulawayo Athletic Club , Bulawayo , Zimbabwe ! Zimbabwe , 000000001992-10-31-000031 October 1992 , 000000001992-10-31-000031 October 1992[197] ,1 [198] ," Unknown
"
100,Sahara Park Newlands(Newlands) ," Cape Town, Western Cape ", South Africa ! South Africa , 000000001992-12-07-00007 December 1992 , 000000002013-11-24-000024 November 2013[199] ,36 [200] ," • Wynberg End • Kelvin Grove End
"
101,Axxess DSL St. Georges(St George’s Park) ," Port Elizabeth, Eastern Cape ", South Africa ! South Africa , 000000001992-12-09-00009 December 1992 , 000000002015-01-25-000025 January 2015[201] ,36 [202] ," • Duckpond End • Park Drive End
"
102,SuperSport Park(Centurion Park) ," Centurion, Gauteng ", South Africa ! South Africa , 000000001992-12-11-000011 December 1992 , 000000002015-01-28-000028 January 2015[203] ,46 [204] ," • Pavilion End • Hennops River End
"
103,New Wanderers Stadium(Wanderers) ," Johannesburg, Gauteng ", South Africa ! South Africa , 000000001992-12-13-000013 December 1992 , 000000002015-01-18-000018 January 2015[205] ,42 [206] ," • Corlett Drive End • Golf Course End
"
104,Goodyear Park(Springbok Park) ," Bloemfontein, Free State ", South Africa ! South Africa , 000000001992-12-15-000015 December 1992 , 000000002013-03-10-000010 March 2013[207] ,27 [208] ," • Loch Logan End • Willows End
"
105,"Sahara Stadium, Kingsmead(Kingsmead) "," Durban, KwaZulu-Natal ", South Africa ! South Africa , 000000001992-12-17-000017 December 1992 , 000000002015-01-16-000016 January 2015[209] ,40 [210] ," • Umgeni End • Old Fort Road End
"
106,Buffalo Park ," East London, Eastern Cape ", South Africa ! South Africa , 000000001992-12-19-000019 December 1992 , 000000002015-01-21-000021 January 2015[211] ,21 [212] ," • Buffalo Park Drive End • Bunkers Hill End
"
107,Moin-ul-Haq Stadium ," Patna, Bihar ", India ! India , 000000001993-11-15-000015 November 1993 , 000000001996-02-27-000027 February 1996[213] ,3 [214] ," • Ganga End • By Pass Road End
"
108,Punjab Cricket Association Stadium(Mohali) ," Mohali, Punjab ", India ! India , 000000001993-11-22-000022 November 1993 , 000000002013-10-19-000019 October 2013[215] ,22 [216] ," • Pavilion End • City End
"
109,Reliance Stadium(formerly Indian Petrochemicals Corporation Limited Sports Complex Ground) ," Vadodara, Baroda ", India ! India , 000000001994-10-28-000028 October 1994 , 000000002010-12-04-00004 December 2010[217] ,10 [218] ," Unknown
"
110,The Padang(Padang Cricket Ground) ," Singapore, Singapore ", Singapore ! Singapore , 000000001996-04-01-00001 April 1996 , 000000001996-04-07-00007 April 1996[219] ,5 [220] ," Unknown
"
111,"Toronto Cricket, Skating and Curling Club "," Toronto, Ontario ", Canada ! Canada , 000000001996-09-16-000016 September 1996 , 000000002011-08-09-00009 August 2011[221] ,30 [222] ," • Clubhouse End • Southern End
"
112,Gymkhana Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-09-28-000028 September 1996 , 000000002010-10-11-000011 October 2010[223] ,62 [224] ," • City End • Forest Road End
"
113,Nairobi Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-10-01-00001 October 1996 , 000000001996-10-01-00001 October 1996[225] ,1 [226] ," • Bowling Green End • Clubhouse End
"
114,Aga Khan Sports Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-10-02-00002 October 1996 , 000000001997-10-16-000016 October 1997[227] ,4 [228] ," Unknown
"
115,Bugti Stadium(formerly Racecourse Ground) ," Quetta, Balochistan ", Pakistan ! Pakistan , 000000001996-10-30-000030 October 1996 , 000000001996-10-30-000030 October 1996[229] ,1 [230] ," Unknown
"
116,Queens Sports Club , Bulawayo , Zimbabwe ! Zimbabwe , 000000001996-12-15-000015 December 1996 , 21 August 2014[231] ,61 [232] ," • City End • Airport End
"
117,Boland Park(Boland Bank Park)  ," Paarl, Western Cape ", South Africa ! South Africa , 000000001997-01-27-000027 January 1997 , 000000002013-01-19-000019 January 2013[233] ,10 [234] ," • Riebeeck Kelders End • Stables End
"
118,Willowmoore Park(Willowmoore Park Main Oval)  ," Benoni, Gauteng ", South Africa ! South Africa , 000000001997-02-09-00009 February 1997 , 000000002010-10-22-000022 October 2010[235] ,19 [236] ," • Chalet End • Ekurhuleni End
"
119,Nehru Stadium ," Kaloor, Kochi, Kerala ", India ! India , 000000001998-04-01-00001 April 1998 , 000000002014-10-08-00008 October 2014[237] ,8 [238] ," • Road End • Media End
"
120,De Beers Diamond Oval(formerly Kimberley Country Club/De Beers Country Club) ," Kimberley, Northern Cape ", South Africa ! South Africa , 000000001998-04-07-00007 April 1998 , 000000002013-01-22-000022 January 2013[239] ,12 [240] ," • North End • South End
"
121,Sheikhupura Stadium ," Sheikhupura, Punjab ", Pakistan ! Pakistan , 000000001998-11-22-000022 November 1998 , 000000002008-02-02-00002 February 2008[241] ,2 [242] ," Unknown
"
122,Owen Delany Park ," Taupo, Waikato ", New Zealand ! New Zealand ,000000001999-01-09-00009 January 1999 , 000000002001-01-02-00002 January 2001[243] ,3 [244] ," • North End • Lake Taupo End
"
123,National Cricket Stadium(Queen's Park) ," St. George's, Grenada (West Indies) ", West Indies ! Grenada , 000000001999-04-14-000014 April 1999 , 000000002014-08-22-000022 August 2014[245] ,21 [246] ," • River End • D'arbeau End
"
124,County Ground," Hove, East Sussex ", England ! England , 000000001999-05-15-000015 May 1999 ,000000001999-05-15-000015 May 1999[247] ,1 [248] ," • Cromwell Road End • Sea End
"
125,St Lawrence Ground ," Canterbury, Kent ", England ! England , 000000001999-05-18-000018 May 1999 ,000000002005-06-30-000030 June 2005[249] ,4 [250] ," • Pavilion End • Nackington Road End
"
126,County Ground(Wantage Road) ," Northampton, Northamptonshire ", England ! England , 000000001999-05-19-000019 May 1999 ,000000001999-05-31-000031 May 1999[251] ,2 [252] ," • Wantage Road End • Lynn Wilson Centre End
"
127,SWALEC Stadium(Sophia Gardens) ," Cardiff, South Glamorgan ", Wales ! Wales , 000000001999-05-20-000020 May 1999 ,27 August 2014[253] ,16 [254] ," • River Taff End • Cathedral Road End
"
128,County Ground(Riverside) ," Chester-le-Street, County Durham ", England ! England , 000000001999-05-20-000020 May 1999 ,000000002014-05-25-000025 May 2014[255] ,14 [256] ," • Finchale End • Lumley End
"
129,Castle Avenue(Clontarf CC Ground) ," Dublin, Leinster ", Ireland ! Ireland , 000000001999-05-21-000021 May 1999 ,6 May 2014[257] ,20 [258] ," • City End • Killester End
"
130,"Grange CC Ground, Raeburn Place ", Edinburgh , Scotland ! Scotland , 000000001999-05-24-000024 May 1999 ,3 September 2013[259] ,10 [260] ," • City End • Park End
"
131,VRA Cricket Ground ," Amstelveen, North Holland ", Netherlands ! Netherlands , 000000001999-05-26-000026 May 1999 ,9 July 2013[261] ,19 [262] ," • City End • Mulders End
"
132,Galle International Stadium ," Galle, Southern Province ", Sri Lanka ! Sri Lanka , 000000001999-08-22-000022 August 1999 , 000000002000-07-06-00006 July 2000[263] ,4 [264] ," • City End  • Fort End
"
133,Kallang Ground ," Singapore, Singapore ", Singapore ! Singapore , 000000001999-09-02-00002 September 1999 , 000000002000-08-27-000027 August 2000[265] ,9 [266] ," • National Stadium End • Pavilion End
"
134,Westpac Stadium(formerly WestpacTrust Stadium) ," Wellington, Wellington ", New Zealand ! New Zealand ,000000002000-01-08-00008 January 2000 , 000000002015-03-21-000021 March 2015[267] ,27 [268] ," • Scoreboard End • City End
"
135,"Docklands Stadium(Etihad Stadium,formerly Colonial Stadium/Telstra Dome) "," Melbourne, Victoria ", Australia ! Australia , 000000002000-08-16-000016 August 2000 ,000000002006-02-03-00003 February 2006[269] ,12 [270] ," • Lockett End • Coventry End
"
136,North West Cricket Stadium(Senwes Park) ," Potchefstroom, North West ", South Africa ! South Africa , 000000002000-10-20-000020 October 2000 , 000000002013-01-25-000025 January 2013[271] ,17 [272] ," • Daly Auto End • University End
"
137,Barkatullah Khan Stadium ," Jodhpur, Rajasthan ", India ! India , 000000002000-12-08-00008 December 2000 , 000000002002-11-21-000021 November 2002[273] ,2 [274] ," • Cox Cutir End • Regidency Road End
"
138,Rangiri Dambulla International Stadium ," Dambulla, Central Province ", Sri Lanka ! Sri Lanka , 000000002001-03-23-000023 March 2001 , 000000002014-08-30-000030 August 2014[275] ,45 [276] ," • Press Box End  • Scoreboard End
"
139,Simba Union Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000002001-08-15-000015 August 2001 , 000000002001-08-15-000015 August 2001[277] ,1 [278] ," • Forest Road End • City Park End
"
140,Beausejour ," Gros Islet, Saint Lucia (West Indies) ", West Indies ! Saint Lucia , 000000002002-06-08-00008 June 2002 , 24 July 2013[279] ,26 [280] ," • Pavilion End • Media Centre End
"
141,National Cricket Stadium ," Tangier, Tangier-Tetouan ", Morocco ! Morocco , 000000002002-08-12-000012 August 2002 , 000000002002-08-21-000021 August 2002[281] ,7 [282] ," • Pavilion End • Cape Spartel End
"
142,Indira Gandhi Stadium(Indira Gandhi Municipal Corporation Stadium) ," Vijayawada, Andhra Pradesh ", India ! India , 000000002002-11-24-000024 November 2002 , 000000002002-11-24-000024 November 2002[283] ,1 [284] ," Unknown
"
143,Kwekwe Sports Club ," Kwekwe, Midlands ", Zimbabwe ! Zimbabwe , 000000002002-12-11-000011 December 2002 , 000000002002-12-11-000011 December 2002[285] ,1 [286] ," Unknown
"
144,Queenstown Events Centre(formerly Davies Park) ," Queenstown, Otago ", New Zealand ! New Zealand ,000000002003-01-04-00004 January 2003 , 000000002014-01-01-00001 January 2014[287] ,9 [288] ," • Remarkables End • Coronet Peak End
"
145,City Oval(Alexandra Park) ," Pietermaritzburg, KwaZulu-Natal ", South Africa ! South Africa , 000000002003-02-14-000014 February 2003 , 000000002003-02-23-000023 February 2003[289] ,2 [290] ," • Duzi End • Hulett End
"
146,Rose Bowl(Ageas Bowl)  ," Southampton, Hampshire ", England ! England , 000000002003-07-10-000010 July 2003 ,16 September 2013[291] ,17 [292] ," • Pavilion End • Northern End
"
147,Bundaberg Rum Stadium(Cazaly's Stadium) ," Cairns, Queensland ",Australia ! Australia , 000000002003-08-02-00002 August 2003 , 000000002003-08-03-00003 August 2003[293] ,2 [294] ," • City End • Club End
"
148,Marrara Oval(Marrara Cricket Ground) ," Darwin, Northern Territory ", Australia ! Australia ,000000002003-08-06-00006 August 2003 , 000000002008-09-06-00006 September 2008[295] ,4 [296] ," • McMillans Road End • Airport End
"
149,Multan Cricket Stadium ," Multan, Punjab ", Pakistan ! Pakistan , 000000002003-09-09-00009 September 2003 , 000000002008-04-16-000016 April 2008[297] ,7 [298] ," • Main Pavilion End • North Pavilion End
"
150,Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium(ACA-VDCA Stadium) ," Visakhapatnam, Andhra Pradesh ", India ! India , 000000002005-04-05-00005 April 2005 , 000000002013-11-24-000024 November 2013[299] ,5 [300] ," • Vizzy End • DV Subba Rao End
"
151,Rajiv Gandhi International Cricket Stadium(Uppal) ," Hyderabad, Telangana ", India ! India ,000000002005-11-16-000016 November 2005, 000000002014-11-09-00009 November 2014[301] ,5 [302] ," • Pavilion End • North End
"
152,Shaheed Chandu Stadium ," Bogra, Rajshahi Division ", Bangladesh ! Bangladesh , 000000002006-02-20-000020 February 2006 , 000000002006-12-05-00005 December 2006[303] ,5 [304] ," Unknown
"
153,Chittagong Divisional Stadium(Zahur Ahmed Chowdhury Stadium) ," Chittagong, Chittagong Division ", Bangladesh ! Bangladesh , 000000002006-02-25-000025 February 2006 , 000000002014-11-23-000023 November 2014[305] ,15 [306] ," • UCB End • Ispahani End
"
154,Khulna Divisional Stadium(Sheikh Abu Naser Stadium/Bir Shrestha Flight Lieutenant Motiur Rahman Stadium) ," Khulna, Khulna Division ", Bangladesh ! Bangladesh , 000000002006-03-20-000020 March 2006 , 000000002012-12-02-00002 December 2012[307] ,4 [308] ," Unknown
"
155,Narayanganj Osmani Stadium ," Fatullah, Narayanganj District ", Bangladesh ! Bangladesh , 000000002006-03-23-000023 March 2006 , 000000002014-03-01-00001 March 2014[309] ,10 [310] ," • Press Box End • Pavilion End
"
156,Holkar Cricket Stadium(formerly Maharani Usharaje Trust Cricket Ground) ," Indore, Madhya Pradesh ", India ! India , 000000002006-04-15-000015 April 2006 , 000000002015-10-14-000014 October 2015[311] ,4 [312] ," Unknown
"
157,Sheikh Zayed Cricket Stadium ," Abu Dhabi, United Arab Emirates ", United Arab Emirates ! United Arab Emirates ,000000002006-04-18-000018 April 2006 , 000000002015-01-14-000014 January 2015[313] ,28 [314] ," • North End • Pavilion End
"
158,Warner Park ," Basseterre, Saint Kitts and Nevis (West Indies) ", West Indies ! Saint Kitts and Nevis , 000000002006-05-23-000023 May 2006 , 000000002014-08-25-000025 August 2014[315] ,14 [316] ," • South Stand End • Factory Road End
"
159,Civil Service Cricket Club(Stormont) ," Belfast, County Antrim ", Northern Ireland ! Northern Ireland , 000000002006-06-13-000013 June 2006 , 8 September 2013[317] ,19 [318] ," • Dundonald End • City End
"
160,Cambusdoon New Ground ," Ayr, Ayrshire ", Scotland ! Scotland , 000000002006-08-05-00005 August 2006 ,000000002012-07-12-000012 July 2012[319] ,7 [320] ," Unknown
"
161,Kinrara Academy Oval ," Puchong, Kuala Lumpur ", Malaysia ! Malaysia , 000000002006-09-12-000012 September 2006 ,000000002014-05-04-00004 May 2014[321] ,9 [322] ," • Pavilion End • Mosque End
"
162,Mombasa Sports Club Ground ," Mombasa, Coast Province ", Kenya ! Kenya , 000000002006-11-11-000011 November 2006 , 000000002012-02-20-000020 February 2012[323] ,12 [324] ," Unknown
"
163,Shere-e-Bangla Stadium ," Mirpur, Dhaka Division ", Bangladesh ! Bangladesh , 000000002006-12-08-00008 December 2006 , 000000002014-12-01-00001 December 2014[325] ,82 [326] ," • Ispahani End • Aqua Paints End
"
164,Jaffery Sports Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000002007-01-29-000029 January 2007 , 000000002007-02-05-00005 February 2007[327] ,5 [328] ," Unknown
"
165,Ruaraka Sports Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000002007-01-30-000030 January 2007 , 000000002007-02-05-00005 February 2007[329] ,5 [330] ," • Thika Road End • Mathare Valley End
"
166,Sir Vivian Richards Stadium ," North Sound, Antigua and Barbuda (West Indies) ", West Indies ! Antigua and Barbuda , 000000002007-03-27-000027 March 2007 , 000000002014-03-05-00005 March 2014[331] ,13 [332] ," • Media Centre End • Pavilion End
"
167,Providence Stadium ," Providence, Guyana (West Indies) ", West Indies ! Guyana , 000000002007-03-28-000028 March 2007 , 16 July 2013[333] ,13 [334] ," • Media Centre End • Pavilion End
"
168,Titwood ," Glasgow, Strathclyde ", Scotland ! Scotland , 000000002007-08-16-000016 August 2007 ,000000002010-07-20-000020 July 2010[335] ,2 [336] ," • Kirkcaldy Road End • Meldrum Gardens End
"
169,Hazelaarweg Stadion ," Rotterdam, South Holland ", Netherlands ! Netherlands , 000000002007-08-18-000018 August 2007 ,000000002010-07-10-000010 July 2010[337] ,10 [338] ," • Pavilion End • Airport End
"
170,Maple Leaf North-West Ground ," King City, Ontario ", Canada ! Canada , 000000002008-06-28-000028 June 2008 , 29 August 2013[339] ,12 [340] ," • Northern End • Southern End
"
171,Mannofield Park , Aberdeen , Scotland ! Scotland , 000000002008-07-01-00001 July 2008 ,9 May 2014[341] ,11 [342] ," Unknown
"
172,Dubai International Cricket Stadium(Dubai Sports City Stadium) ," Dubai, United Arab Emirates ", United Arab Emirates ! United Arab Emirates ,000000002009-04-22-000022 April 2009 , 000000002015-01-17-000017 January 2015[343] ,17 [344] ," • Emirates Road End • Dubai Sports City End
"
173,Windsor Park ," Roseau, Dominica (West Indies) ", West Indies ! Dominica , 000000002009-07-26-000026 July 2009 ,000000002010-05-30-000030 May 2010[345] ,4 [346] ," • River End • Botanical Gardens End
"
174,Vidarbha Cricket Association Stadium(Jamtha) ," Nagpur, Maharashtra ", India ! India , 000000002009-10-28-000028 October 2009 , 000000002013-10-30-000030 October 2013[347] ,7 [348] ," • Secretary End • Pavilion End
"
175,University Oval ," Dunedin, Otago ", New Zealand ! New Zealand , 000000002010-02-08-00008 February 2010 , 000000002015-02-26-000026 February 2015[349] ,7 [350] ," • Caledonian End • City (or Grandstand) End
"
176,Sportpark Westvliet ," Voorburg, South Holland ", Netherlands ! Netherlands , 000000002010-07-01-00001 July 2010 ,000000002010-07-07-00007 July 2010[351] ,4 [352] ," • Pavilion End • Paddock End
"
177,Sportpark Thurlede ," Schiedam, South Holland ", Netherlands ! Netherlands , 000000002010-07-09-00009 July 2010 ,000000002010-07-10-000010 July 2010[353] ,2 [354] ," Unknown
"
178,Mahinda Rajapaksa International Stadium(Hambantota Cricket Stadium) ," Hambantota, Southern Province ", Sri Lanka ! Sri Lanka ,000000002011-02-20-000020 February 2011, 000000002014-12-03-00003 December 2014[355] ,16 [356] ," • Thanamalwila End • Sooriyawewa End
"
179,Pallekele International Cricket Stadium(Muttiah Muralitharan International Cricket Stadium) ," Pallekele, Central Province ", Sri Lanka ! Sri Lanka ,000000002011-03-08-00008 March 2011, 13 December 2014[357] ,15 [358] ," • Hunnasgiriya End • Rikillagaskada End
"
180,Sportpark Duivesteijn ," Voorburg, South Holland ", Netherlands ! Netherlands , 000000002011-09-12-000012 September 2011 ,000000002011-09-13-000013 September 2011[359] ,2 [360] ," Unknown
"
181,Cobham Oval (New) ," Whangarei, Northland ", New Zealand ! New Zealand ,000000002012-02-06-00006 February 2012 , 000000002012-02-06-00006 February 2012[361] ,1 [362] ," Unknown
"
182,Saurashtra Cricket Association Stadium(Khanderi Cricket Stadium) ," Rajkot, Saurashtra ", India ! India , 000000002013-01-11-000011 January 2013 , 000000002015-10-18-000018 October 2015[363] ,2 [364] ," Unknown
"
183,JSCA International Cricket Stadium(JSCA International Stadium Complex) ," Ranchi, Jharkhand ", India ! India , 000000002013-01-19-000019 January 2013 , 000000002014-11-16-000016 November 2014[365] ,3 [366] ," Unknown
"
184,HPCA Stadium(Himachal Pradesh Cricket Association Stadium) ," Dharamsala, Himachal Pradesh ", India ! India , 000000002013-01-27-000027 January 2013 , 000000002014-10-17-000017 October 2014[367] ,2 [368] ," • River End • College End
"
185,ICC Global Cricket Academy ," Dubai, United Arab Emirates ", United Arab Emirates ! United Arab Emirates ,000000002013-03-11-000011 March 2013 , 000000002015-01-19-000019 January 2015[369] ,8 [370] ," • City End • Pavilion End
"
186,Malahide(The Village) ," Dublin, Leinster ", Ireland ! Ireland , 000000002013-09-03-00003 September 2013 ,12 September 2014[371] ,4 [372] ," • Dublin Road End • Castle End
"
187,Subrata Roy Sahara Stadium(Maharashtra Cricket Association Stadium) ," Gahunje, Pune, Maharashtra ", India ! India , 000000002013-10-13-000013 October 2013 , 000000002013-10-13-000013 October 2013[373] ,1 [374] ," • Pavilion End • Media Centre End
"
188,Saxton Oval ," Nelson, Nelson (Region) ", New Zealand ! New Zealand ,000000002014-01-04-00004 January 2014 , 000000002015-03-05-00005 March 2015[375] ,5 [376] ," Unknown
"
189,Hagley Oval ," Christchurch, Canterbury ", New Zealand ! New Zealand , 000000002014-01-23-000023 January 2014 , 000000002015-02-23-000023 February 2015[377] ,6 [378] ," Unknown
"
190,Bert Sutcliffe Oval ," Lincoln, Canterbury ", New Zealand ! New Zealand , 000000002014-01-23-000023 January 2014 , 000000002014-02-01-00001 February 2014[379] ,2 [380] ," • Pavilion End • City End
"
191,Bay Oval ," Mount Maunganui, Bay of Plenty ", New Zealand ! New Zealand , 000000002014-01-28-000028 January 2014 , 000000002014-10-24-000024 October 2014[381] ,3 [382] ," Unknown
"
192,Bayuemas Oval ," Pandamaran, Kuala Lumpur ", Malaysia ! Malaysia , 000000002014-05-01-00001 May 2014 , 000000002014-05-01-00001 May 2014[383] ,1 [384] ," • Sime Darby End • Golden Hope End
"
193,Tony Ireland Stadium ," Townsville, Queensland ", Australia ! Australia ,000000002014-11-08-00008 November 2014 , 000000002014-11-09-00009 November 2014[385] ,2 [386] ," Unknown
"
